url;date;user;retweetedTweetUrl;retweetedTweetUser;mentionedUsers
https://twitter.com/asep_mochamad/status/1556522187129237504;08/08/2022;asep_mochamad;;;
https://twitter.com/YASSIN7007/status/1556521310129270784;08/08/2022;YASSIN7007;;;
https://twitter.com/wivenchysagita/status/1556521287270694912;08/08/2022;wivenchysagita;;;
https://twitter.com/ufik7/status/1556521264571125760;08/08/2022;ufik7;;;
https://twitter.com/triyani39/status/1556521241791500288;08/08/2022;triyani39;;;
https://twitter.com/tomykusnaidi/status/1556521219083890688;08/08/2022;tomykusnaidi;;;
https://twitter.com/tomasdifiori/status/1556521196149415937;08/08/2022;tomasdifiori;;;
https://twitter.com/yousifbanaga/status/1556521173457833984;08/08/2022;yousifbanaga;;;
https://twitter.com/yetikarundeng/status/1556521128415309825;08/08/2022;yetikarundeng;;;
https://twitter.com/YENGstagram/status/1556521105875402754;08/08/2022;YENGstagram;;;
https://twitter.com/xokatexo17/status/1556521082810556417;08/08/2022;xokatexo17;;;
https://twitter.com/wulan_fauzi/status/1556521060073603072;08/08/2022;wulan_fauzi;;;
https://twitter.com/wira_sr/status/1556521037180768256;08/08/2022;wira_sr;;;
https://twitter.com/widya_hardiany/status/1556521014649327622;08/08/2022;widya_hardiany;;;
https://twitter.com/Widia2110/status/1556520992070979585;08/08/2022;Widia2110;;;
https://twitter.com/wewecanav/status/1556520969396555776;08/08/2022;wewecanav;;;
https://twitter.com/wardelldrew/status/1556520923997491204;08/08/2022;wardelldrew;;;
https://twitter.com/waqhidnur23/status/1556520901373751296;08/08/2022;waqhidnur23;;;
https://twitter.com/WahyuReggea/status/1556520878883897344;08/08/2022;WahyuReggea;;;
https://twitter.com/viraalifa/status/1556520856221716481;08/08/2022;viraalifa;;;
https://twitter.com/Vikar_Romance/status/1556520833316974592;08/08/2022;Vikar_Romance;;;
https://twitter.com/vartantattoo/status/1556520810679914496;08/08/2022;vartantattoo;;;
https://twitter.com/ttria_01/status/1556520788198830080;08/08/2022;ttria_01;;;
https://twitter.com/triairmayati/status/1556520765503471616;08/08/2022;triairmayati;;;
https://twitter.com/TinaWidyastuti/status/1556520719793545216;08/08/2022;TinaWidyastuti;;;
https://twitter.com/TiaraYunivia/status/1556520697190809602;08/08/2022;TiaraYunivia;;;
https://twitter.com/tiararera/status/1556520674323484672;08/08/2022;tiararera;;;
https://twitter.com/ThomasBerwibawa/status/1556520651791683584;08/08/2022;ThomasBerwibawa;;;
https://twitter.com/Gallopclothing/status/1556518942793158656;08/08/2022;Gallopclothing;;;
https://twitter.com/Firmannjaya/status/1556518872752472064;08/08/2022;Firmannjaya;;;
https://twitter.com/fatherof_abeast/status/1556518802510135296;08/08/2022;fatherof_abeast;;;
https://twitter.com/duniaria/status/1556518731135811584;08/08/2022;duniaria;;;
https://twitter.com/azita_nur/status/1556518379011604481;08/08/2022;azita_nur;;;
https://twitter.com/firdarahmaw/status/1556518237470597120;08/08/2022;firdarahmaw;;;
https://twitter.com/fidiarena/status/1556518167866114048;08/08/2022;fidiarena;;;
https://twitter.com/FatmaAgita/status/1556517959115292674;08/08/2022;FatmaAgita;;;
https://twitter.com/fajardr88/status/1556517816806678528;08/08/2022;fajardr88;;;
https://twitter.com/fajarayom/status/1556517747345203201;08/08/2022;fajarayom;;;
https://twitter.com/eny_purwantari/status/1556517676859928576;08/08/2022;eny_purwantari;;;
https://twitter.com/Elisa_Shopp/status/1556517536023597057;08/08/2022;Elisa_Shopp;;;
https://twitter.com/eka_aprilia02/status/1556517466477510656;08/08/2022;eka_aprilia02;;;
https://twitter.com/EbyRumondor/status/1556517325582761985;08/08/2022;EbyRumondor;;;
https://twitter.com/duaaa71/status/1556517255978287104;08/08/2022;duaaa71;;;
https://twitter.com/diancharnia/status/1556517186449002496;08/08/2022;diancharnia;;;
https://twitter.com/dessyputriayu/status/1556516975119310850;08/08/2022;dessyputriayu;;;
https://twitter.com/dephi_indra/status/1556516835624751105;08/08/2022;dephi_indra;;;
https://twitter.com/DellaArifah/status/1556516764468465664;08/08/2022;DellaArifah;;;
https://twitter.com/deddy_nuralam/status/1556516693068988416;08/08/2022;deddy_nuralam;;;
https://twitter.com/DavCloset/status/1556516623191748608;08/08/2022;DavCloset;;;
https://twitter.com/danymidun/status/1556516482468548608;08/08/2022;danymidun;;;
https://twitter.com/cahyosetio/status/1556516063999041536;08/08/2022;cahyosetio;;;
https://twitter.com/brilliants_8/status/1556515993274314752;08/08/2022;brilliants_8;;;
https://twitter.com/bookishrants/status/1556515922382565376;08/08/2022;bookishrants;;;
https://twitter.com/BeGunDaL_Stress/status/1556515852182138887;08/08/2022;BeGunDaL_Stress;;;
https://twitter.com/bayunuggraha/status/1556515782862856196;08/08/2022;bayunuggraha;;;
https://twitter.com/bacaanbermakna/status/1556515570706939910;08/08/2022;bacaanbermakna;;;
https://twitter.com/kuuroppi/status/1556513592094035968;08/08/2022;kuuroppi;;;LBH_Jakarta
https://twitter.com/minamishiho1/status/1556508648041762817;08/08/2022;minamishiho1;;;
https://twitter.com/inibukanzayn/status/1556505797148168192;08/08/2022;inibukanzayn;;;fachrurrazimhd
https://twitter.com/masterinternet6/status/1556501050693074949;08/08/2022;masterinternet6;;;Alberthiorch
https://twitter.com/DavidSPerdana/status/1556499926947090432;08/08/2022;DavidSPerdana;;;
https://twitter.com/continuum_data/status/1556498217046806531;08/08/2022;continuum_data;;;
https://twitter.com/secgron/status/1556497580632461312;08/08/2022;secgron;;;"LBH_Jakarta,kemkominfo,LBH_Jakarta"
https://twitter.com/secgron/status/1556496370739343361;08/08/2022;secgron;;;kemkominfo
https://twitter.com/Alberthiorch/status/1556492237374390274;08/08/2022;Alberthiorch;;;
https://twitter.com/Kageruigbf/status/1556489973951791104;08/08/2022;Kageruigbf;;;
https://twitter.com/mayarose26/status/1556481149861777409;08/08/2022;mayarose26;;;serunaico
https://twitter.com/NocturnAlpha/status/1556478291691081728;08/08/2022;NocturnAlpha;;;
https://twitter.com/ArikaMario/status/1556476192781668352;08/08/2022;ArikaMario;;;rudiantara_id
https://twitter.com/arissetyawan/status/1556471538303389696;08/08/2022;arissetyawan;;;"secgron,DamarJuniarto,safenetvoice,lantip,nden"
https://twitter.com/arissetyawan/status/1556441727921459200;08/08/2022;arissetyawan;;;ayuwelirang
https://twitter.com/MRey_Bakhtiar/status/1556435796697051136;08/08/2022;MRey_Bakhtiar;;;
https://twitter.com/minamishiho1/status/1556435166767493121;08/08/2022;minamishiho1;;;
https://twitter.com/aden_undertaker/status/1556432650285756416;08/08/2022;aden_undertaker;;;"PlateJohnny,kemkominfo"
https://twitter.com/Burobumon/status/1556420916480917506;08/07/2022;Burobumon;;;"DPoyopom,kemkominfo"
https://twitter.com/Rizky_Nain/status/1556418624251785217;08/07/2022;Rizky_Nain;;;
https://twitter.com/Burobumon/status/1556416508548419584;08/07/2022;Burobumon;;;"DPoyopom,kemkominfo"
https://twitter.com/SHANTYSANTIKA11/status/1556368194147065856;08/07/2022;SHANTYSANTIKA11;;;
https://twitter.com/SHANTYSANTIKA11/status/1556368125943513088;08/07/2022;SHANTYSANTIKA11;;;
https://twitter.com/NoorHendraM/status/1556364683564969984;08/07/2022;NoorHendraM;;;SehikuTH
https://twitter.com/NoorHendraM/status/1556364231750332416;08/07/2022;NoorHendraM;;;
https://twitter.com/NoorHendraM/status/1556360919302545408;08/07/2022;NoorHendraM;;;
https://twitter.com/the_VR289/status/1556350314533769216;08/07/2022;the_VR289;;;
https://twitter.com/asupan_a/status/1556348942115172354;08/07/2022;asupan_a;;;
https://twitter.com/TigerF7/status/1556344675967332352;08/07/2022;TigerF7;;;
https://twitter.com/onomsalam2pas/status/1556306320370040832;08/07/2022;onomsalam2pas;;;
https://twitter.com/DapitMolana/status/1556286467986833408;08/07/2022;DapitMolana;;;
https://twitter.com/TigerF7/status/1556275170104713217;08/07/2022;TigerF7;;;
https://twitter.com/sadpanda_merch/status/1556271622604324864;08/07/2022;sadpanda_merch;;;
